fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,composition_temp_id,density_value,density_uncertainty,thermalConductivity_value,thermalConductivity_uncertainty,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,measured
"['Choline Chloride', 'Glycerol']",viscosity,0.0815895,0.00040794750000000004,323.15,"[0.333333333333, 0.666666666667]",08fb09d4-ba02-487e-a55a-f6489894e054,10.1016/j.fluid.2014.01.028,0.666666666667,323.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 323.15, '08fb09d4-ba02-487e-a55a-f6489894e054')",,,,,0.0815895,0.00040794750000000004,0.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.1333749,0.0006668745000000001,313.15,"[0.333333333333, 0.666666666667]",7c1e9f13-03c7-4e75-bb4e-0787c75931d5,10.1016/j.fluid.2014.01.028,0.666666666667,313.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 313.15, '7c1e9f13-03c7-4e75-bb4e-0787c75931d5')",,,,,0.1333749,0.0006668745000000001,0.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.2467928,0.0012339640000000002,303.15,"[0.333333333333, 0.666666666667]",5903da59-4132-4c2e-8ced-3b10ab752b3c,10.1016/j.fluid.2014.01.028,0.666666666667,303.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 303.15, '5903da59-4132-4c2e-8ced-3b10ab752b3c')",,,,,0.2467928,0.0012339640000000002,0.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.47296710000000003,0.0023648354999999998,293.15,"[0.333333333333, 0.666666666667]",00d9c3d5-d0a9-453a-ab35-01427e57dc16,10.1016/j.fluid.2014.01.028,0.666666666667,293.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 293.15, '00d9c3d5-d0a9-453a-ab35-01427e57dc16')",,,,,0.47296710000000003,0.0023648354999999998,0.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.376,,298.0,"[0.333333333333, 0.666666666667]",96257894-8f3c-4dc8-a000-2b430563df5f,10.1021/cr300162p,0.666666666667,298.0,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 298.0, '96257894-8f3c-4dc8-a000-2b430563df5f')",,,,,0.376,,0.0,"(0.19592059105779686, 0.6981620017487838, 0.3452219818913641)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.052,0.00156,328.15,"[0.333333333333, 0.666666666667]",6dbf53d3-f509-4349-95b3-7e4bcd6b7538,10.1039/c0gc00395f,0.666666666667,328.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 328.15, '6dbf53d3-f509-4349-95b3-7e4bcd6b7538')",,,,,0.052,0.00156,0.0,"(0.5596943802099308, 0.5764402169887779, 0.9583930713150347)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.064,0.0019199999999999998,323.15,"[0.333333333333, 0.666666666667]",7a08ef00-d0a6-418f-b9ac-007cb8ed282d,10.1039/c0gc00395f,0.666666666667,323.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 323.15, '7a08ef00-d0a6-418f-b9ac-007cb8ed282d')",,,,,0.064,0.0019199999999999998,0.0,"(0.5596943802099308, 0.5764402169887779, 0.9583930713150347)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.053811700000000004,0.0002690585,333.15,"[0.333333333333, 0.666666666667]",291df303-fa79-4ef4-86ca-2d526c8555bb,10.1016/j.fluid.2014.01.028,0.666666666667,333.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 333.15, '291df303-fa79-4ef4-86ca-2d526c8555bb')",,,,,0.053811700000000004,0.0002690585,0.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
"['Choline Chloride', 'Glycerol']",density,1.19715,0.0005,295.65,"[0.333333333333, 0.666666666667]",2797aba4-431a-4de5-822a-de30458f1d1f,10.1016/j.jct.2018.07.031,0.666666666667,295.65,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 295.65, '2797aba4-431a-4de5-822a-de30458f1d1f')",1.19715,0.0005,,,,,0.0,"(0.710130687316902, 0.6046852192663268, 0.19426060163712158)",measured
"['Choline Chloride', 'Glycerol']",density,1.19855,0.0005,293.15,"[0.333333333333, 0.666666666667]",ac3380fe-4cab-439c-be07-f539ee91c9c4,10.1016/j.jct.2018.07.031,0.666666666667,293.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 293.15, 'ac3380fe-4cab-439c-be07-f539ee91c9c4')",1.19855,0.0005,,,,,0.0,"(0.710130687316902, 0.6046852192663268, 0.19426060163712158)",measured
"['Choline Chloride', 'Glycerol']",density,1.143,1e-05,323.15,"[0.5, 0.5]",0514d29c-dc19-4f0e-8f75-3572d82a0389,10.1016/j.tca.2011.10.010,0.5,323.15,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 323.15, '0514d29c-dc19-4f0e-8f75-3572d82a0389')",1.143,1e-05,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",density,1.1402,1e-05,328.15,"[0.5, 0.5]",0bdbb3f0-f443-4b21-8f77-2ab916484729,10.1016/j.tca.2011.10.010,0.5,328.15,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 328.15, '0bdbb3f0-f443-4b21-8f77-2ab916484729')",1.1402,1e-05,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",viscosity,0.052,0.0010400000000000001,328.0,"[0.333333333333, 0.666666666667]",5691b736-713f-4daa-a8a2-4dc306431cab,10.1039/C1CP22554E,0.666666666667,328.0,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 328.0, '5691b736-713f-4daa-a8a2-4dc306431cab')",,,,,0.052,0.0010400000000000001,0.0,"(0.21420912437215422, 0.6714963557258681, 0.6986206664203177)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.082,0.00246,318.15,"[0.333333333333, 0.666666666667]",fad57ffd-9549-465e-81e2-fb8a7915658b,10.1039/c0gc00395f,0.666666666667,318.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 318.15, 'fad57ffd-9549-465e-81e2-fb8a7915658b')",,,,,0.082,0.00246,0.0,"(0.5596943802099308, 0.5764402169887779, 0.9583930713150347)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.104,0.00312,313.15,"[0.333333333333, 0.666666666667]",92dfa023-e33c-4bcf-8305-3b4fe7c2de6c,10.1039/c0gc00395f,0.666666666667,313.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 313.15, '92dfa023-e33c-4bcf-8305-3b4fe7c2de6c')",,,,,0.104,0.00312,0.0,"(0.5596943802099308, 0.5764402169887779, 0.9583930713150347)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.14,0.004200000000000001,308.15,"[0.333333333333, 0.666666666667]",ae5e7ff6-9d53-4c64-8d3e-0b05d84e5441,10.1039/c0gc00395f,0.666666666667,308.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 308.15, 'ae5e7ff6-9d53-4c64-8d3e-0b05d84e5441')",,,,,0.14,0.004200000000000001,0.0,"(0.5596943802099308, 0.5764402169887779, 0.9583930713150347)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.188,0.00564,303.15,"[0.333333333333, 0.666666666667]",cd0e72f2-78f9-48e2-99f0-5fa959ade177,10.1039/c0gc00395f,0.666666666667,303.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 303.15, 'cd0e72f2-78f9-48e2-99f0-5fa959ade177')",,,,,0.188,0.00564,0.0,"(0.5596943802099308, 0.5764402169887779, 0.9583930713150347)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.259,0.00777,298.15,"[0.333333333333, 0.666666666667]",349acc22-bed1-45e6-bcf6-c25e673f06b5,10.1039/c0gc00395f,0.666666666667,298.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 298.15, '349acc22-bed1-45e6-bcf6-c25e673f06b5')",,,,,0.259,0.00777,0.0,"(0.5596943802099308, 0.5764402169887779, 0.9583930713150347)",measured
"['Choline Chloride', 'Glycerol']",viscosity,0.376,0.01128,293.15,"[0.333333333333, 0.666666666667]",21dc437d-124d-42fb-8fae-193163823907,10.1039/c0gc00395f,0.666666666667,293.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 293.15, '21dc437d-124d-42fb-8fae-193163823907')",,,,,0.376,0.01128,0.0,"(0.5596943802099308, 0.5764402169887779, 0.9583930713150347)",measured
"['Choline Chloride', 'Glycerol']",density,1.1379,1e-05,333.15,"[0.5, 0.5]",ecf81455-da2f-4956-86c4-e72cbf3b4c83,10.1016/j.tca.2011.10.010,0.5,333.15,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 333.15, 'ecf81455-da2f-4956-86c4-e72cbf3b4c83')",1.1379,1e-05,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",density,1.181,,293.15,"[0.333333333333, 0.666666666667]",e89fb627-79cc-423d-80bf-d3781e5c0e82,10.1021/jp0671998,0.666666666667,293.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 293.15, 'e89fb627-79cc-423d-80bf-d3781e5c0e82')",1.181,,,,,,0.0,"(0.2067117296964458, 0.6829103404254792, 0.5829988925822328)",measured
"['Choline Chloride', 'Glycerol']",density,1.1483,1e-05,313.15,"[0.5, 0.5]",59728d14-2c1f-4908-a9c0-fd24d14140d0,10.1016/j.tca.2011.10.010,0.5,313.15,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 313.15, '59728d14-2c1f-4908-a9c0-fd24d14140d0')",1.1483,1e-05,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",density,1.1454,1e-05,318.15,"[0.5, 0.5]",508406b8-d85b-40cf-91b1-fa32fb0bd603,10.1016/j.tca.2011.10.010,0.5,318.15,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 318.15, '508406b8-d85b-40cf-91b1-fa32fb0bd603')",1.1454,1e-05,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",density,1.1558,1e-05,298.15,"[0.5, 0.5]",189edc73-edb5-4bf7-827d-d0d6dbd2c000,10.1016/j.tca.2011.10.010,0.5,298.15,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 298.15, '189edc73-edb5-4bf7-827d-d0d6dbd2c000')",1.1558,1e-05,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",thermalConductivity,1929.0,3.0,298.15,"[0.5, 0.5]",1de61e6e-d364-4408-9b01-2ab891c72b39,10.1016/j.fluid.2013.07.012,0.5,298.15,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 298.15, '1de61e6e-d364-4408-9b01-2ab891c72b39')",,,1929.0,3.0,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",density,1.14,0.0001,328.16,"[0.5, 0.5]",c34eda12-a638-4ba5-8271-100937c4f417,10.1016/j.tca.2010.12.022,0.5,328.16,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 328.16, 'c34eda12-a638-4ba5-8271-100937c4f417')",1.14,0.0001,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",density,1.146,0.0001,318.22,"[0.5, 0.5]",232a1219-275a-4351-9b4d-e1640e723445,10.1016/j.tca.2010.12.022,0.5,318.22,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 318.22, '232a1219-275a-4351-9b4d-e1640e723445')",1.146,0.0001,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",density,1.15,0.0001,308.21,"[0.5, 0.5]",18fe0614-b6f4-4531-9eaf-7b0a8202da60,10.1016/j.tca.2010.12.022,0.5,308.21,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 308.21, '18fe0614-b6f4-4531-9eaf-7b0a8202da60')",1.15,0.0001,,,,,0.0,,measured
"['Choline Chloride', 'Glycerol']",density,1.186,0.0005,315.65,"[0.333333333333, 0.666666666667]",5e91f110-6e8d-4af7-9b39-d21381042184,10.1016/j.jct.2018.07.031,0.666666666667,315.65,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 315.65, '5e91f110-6e8d-4af7-9b39-d21381042184')",1.186,0.0005,,,,,0.0,"(0.710130687316902, 0.6046852192663268, 0.19426060163712158)",measured
"['Choline Chloride', 'Glycerol']",density,1.1713,5e-05,333.15,"[0.333333333333, 0.666666666667]",cbe07f9f-5961-48be-9f82-2e88a0352dcb,10.1016/j.fluid.2014.01.028,0.666666666667,333.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 333.15, 'cbe07f9f-5961-48be-9f82-2e88a0352dcb')",1.1713,5e-05,,,,,0.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
"['Choline Chloride', 'Glycerol']",density,1.177,5e-05,323.15,"[0.333333333333, 0.666666666667]",6ec9c3bb-5ca4-4234-9fe3-3e51b1676c22,10.1016/j.fluid.2014.01.028,0.666666666667,323.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 323.15, '6ec9c3bb-5ca4-4234-9fe3-3e51b1676c22')",1.177,5e-05,,,,,0.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
"['Choline Chloride', 'Glycerol']",density,1.1827,5e-05,313.15,"[0.333333333333, 0.666666666667]",187d73b5-b3a7-40a2-ae57-20124180a291,10.1016/j.fluid.2014.01.028,0.666666666667,313.15,2.0,Document_1,"(0.333, 0.667)",0.333,0.667,"(('Choline Chloride', 'Glycerol'), 313.15, '187d73b5-b3a7-40a2-ae57-20124180a291')",1.1827,5e-05,,,,,0.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
"['Choline Chloride', 'Glycerol']",density,1.1506,1e-05,308.15,"[0.5, 0.5]",24c6f10e-1d06-4fae-9d23-03dc9df0f852,10.1016/j.tca.2011.10.010,0.5,308.15,1.0,Document_1,"(0.5, 0.5)",0.5,0.5,"(('Choline Chloride', 'Glycerol'), 308.15, '24c6f10e-1d06-4fae-9d23-03dc9df0f852')",1.1506,1e-05,,,,,0.0,,measured
