Compound 1;Compound 2;Compound 3;Molar Fraction 1;Molar Fraction 2;Molar Fraction 3;Property;Property Name;Standard Deviation Viscosity;Parameter;Type;Storage;Comment
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;4,65;Viscosity;0,13;7;Time;closed;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;4,9;Viscosity;0,869791;14;Time;closed;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;4,53;Viscosity;0,17566;38;Time;closed;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;4,62;Viscosity;0,090807;7;Time;fridge;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;5,07;Viscosity;0,044257;14;Time;fridge;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;4,87;Viscosity;0,217654;38;Time;fridge;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;4,58;Viscosity;0,039821;7;Time;open;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;5,9;Viscosity;1,773084;14;Time;open;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;5,65;Viscosity;0,187619;40;Time;open;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;48,79024;Polarity;0,117747;0;Time;none;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;48,91563;Polarity;0,177529;7;Time;closed;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;49,42357;Polarity;0,302055;14;Time;closed;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;49,85357;Polarity;0,061468;38;Time;closed;ChCl-EG (1:2)_40% H2O
Cholinchloride;Ethylene glycol;Water;0,071;0,143;0,786;49,89946;Polarity;0,492625;7;Time;fridge;ChCl-EG (1:2)_40% H2O
