Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
0.224736,44.9472,0.5,0.3425,313.15,10.1016/j.fluid.2014.01.028
0.1489955,29.7991,0.5,0.3425,323.15,10.1016/j.fluid.2014.01.028
0.104053,20.8106,0.5,0.3425,333.15,10.1016/j.fluid.2014.01.028
0.0761735,15.2347,0.5,0.3425,343.15,10.1016/j.fluid.2014.01.028
0.05793,11.586,0.5,0.3425,353.15,10.1016/j.fluid.2014.01.028
0.045233,9.0466,0.5,0.3425,363.15,10.1016/j.fluid.2014.01.028
1.9856305,397.1261,0.5,0.2381,283.15,10.1016/j.fluid.2014.01.028
1.0022645,200.4529,0.5,0.2381,293.15,10.1016/j.fluid.2014.01.028
0.5269745,105.3949,0.5,0.2381,303.15,10.1016/j.fluid.2014.01.028
0.318164,63.6328,0.5,0.2381,313.15,10.1016/j.fluid.2014.01.028
0.208272,41.6544,0.5,0.2381,323.15,10.1016/j.fluid.2014.01.028
0.141173,28.2346,0.5,0.2381,333.15,10.1016/j.fluid.2014.01.028
0.100551,20.1102,0.5,0.2381,343.15,10.1016/j.fluid.2014.01.028
0.074914,14.9828,0.5,0.2381,353.15,10.1016/j.fluid.2014.01.028
0.0570155,11.4031,0.5,0.2381,363.15,10.1016/j.fluid.2014.01.028
3.349519,669.9038,0.5,0.108,283.15,10.1016/j.fluid.2014.01.028
1.613027,322.6054,0.5,0.108,293.15,10.1016/j.fluid.2014.01.028
0.8643295,172.8659,0.5,0.108,303.15,10.1016/j.fluid.2014.01.028
0.488035,97.607,0.5,0.108,313.15,10.1016/j.fluid.2014.01.028
0.3040165,60.8033,0.5,0.108,323.15,10.1016/j.fluid.2014.01.028
0.1967295,39.3459,0.5,0.108,333.15,10.1016/j.fluid.2014.01.028
0.137485,27.497,0.5,0.108,343.15,10.1016/j.fluid.2014.01.028
0.1004815,20.0963,0.5,0.108,353.15,10.1016/j.fluid.2014.01.028
0.0761755,15.2351,0.5,0.108,363.15,10.1016/j.fluid.2014.01.028
5.019714,1003.9428,0.5,0,283.15,10.1016/j.fluid.2014.01.028
2.3648355,472.9671,0.5,0,293.15,10.1016/j.fluid.2014.01.028
1.233964,246.7928,0.5,0,303.15,10.1016/j.fluid.2014.01.028
0.6668745,133.3749,0.5,0,313.15,10.1016/j.fluid.2014.01.028
0.4079475,81.5895,0.5,0,323.15,10.1016/j.fluid.2014.01.028
0.2690585,53.8117,0.5,0,333.15,10.1016/j.fluid.2014.01.028
0.1837045,36.7409,0.5,0,343.15,10.1016/j.fluid.2014.01.028
0.1316655,26.3331,0.5,0,353.15,10.1016/j.fluid.2014.01.028
0.097933,19.5866,0.5,0,363.15,10.1016/j.fluid.2014.01.028
11.88,594,0.502512563,0.25436409,278.15,10.1016/j.jct.2018.07.031
9.762,488.1,0.502512563,0.25436409,280.65,10.1016/j.jct.2018.07.031
8.088,404.4,0.502512563,0.25436409,283.15,10.1016/j.jct.2018.07.031
6.74,337,0.502512563,0.25436409,285.65,10.1016/j.jct.2018.07.031
5.646,282.3,0.502512563,0.25436409,288.15,10.1016/j.jct.2018.07.031
4.772,238.6,0.502512563,0.25436409,290.65,10.1016/j.jct.2018.07.031
4.06,203,0.502512563,0.25436409,293.15,10.1016/j.jct.2018.07.031
