fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,mole_fraction_Water,composition_temp_id,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,marker,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0009808,4.904e-06,313.15,"[0.013266666667, 0.026533333333, 0.9602]",c3cce746-e728-4484-a4bd-34aa8b559cf2,10.1016/j.fluid.2014.01.028,0.9602,313.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, 'c3cce746-e728-4484-a4bd-34aa8b559cf2')",0.0009808,4.904e-06,0.9602,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006998999999999999,3.4995e-06,333.15,"[0.013266666667, 0.026533333333, 0.9602]",feed11e9-d4b6-4fa0-bf93-ace42f43f3f6,10.1016/j.fluid.2014.01.028,0.9602,333.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, 'feed11e9-d4b6-4fa0-bf93-ace42f43f3f6')",0.0006998999999999999,3.4995e-06,0.9602,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0005212,2.6059999999999997e-06,353.15,"[0.013266666667, 0.026533333333, 0.9602]",4e32c6db-326d-4401-88c9-cb6aa1706e1d,10.1016/j.fluid.2014.01.028,0.9602,353.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, '4e32c6db-326d-4401-88c9-cb6aa1706e1d')",0.0005212,2.6059999999999997e-06,0.9602,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0012059,6.0295000000000005e-06,303.15,"[0.013266666667, 0.026533333333, 0.9602]",99167369-5f83-4deb-ab38-c0ef22b4758c,10.1016/j.fluid.2014.01.028,0.9602,303.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, '99167369-5f83-4deb-ab38-c0ef22b4758c')",0.0012059,6.0295000000000005e-06,0.9602,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0008193,4.0965000000000005e-06,323.15,"[0.013266666667, 0.026533333333, 0.9602]",f576c85b-c9cc-40b9-b2d1-c8d3f64fdcb3,10.1016/j.fluid.2014.01.028,0.9602,323.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, 'f576c85b-c9cc-40b9-b2d1-c8d3f64fdcb3')",0.0008193,4.0965000000000005e-06,0.9602,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0008829,4.4145e-06,333.15,"[0.022166666667, 0.044333333333, 0.9335]",4ddcb538-2624-44e6-a03c-284237ef5865,10.1016/j.fluid.2014.01.028,0.9335,333.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, '4ddcb538-2624-44e6-a03c-284237ef5865')",0.0008829,4.4145e-06,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006145,3.0725000000000002e-06,363.15,"[0.022166666667, 0.044333333333, 0.9335]",ad37d638-57e7-4442-8b17-c9ab449d57e0,10.1016/j.fluid.2014.01.028,0.9335,363.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, 'ad37d638-57e7-4442-8b17-c9ab449d57e0')",0.0006145,3.0725000000000002e-06,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006654,3.327e-06,353.15,"[0.022166666667, 0.044333333333, 0.9335]",e28e23f4-bcc2-4a67-a705-15dc3cf7499e,10.1016/j.fluid.2014.01.028,0.9335,353.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, 'e28e23f4-bcc2-4a67-a705-15dc3cf7499e')",0.0006654,3.327e-06,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0012652000000000002,6.326e-06,313.15,"[0.022166666667, 0.044333333333, 0.9335]",77c9185e-57c8-48b2-9139-965fdf800b82,10.1016/j.fluid.2014.01.028,0.9335,313.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, '77c9185e-57c8-48b2-9139-965fdf800b82')",0.0012652000000000002,6.326e-06,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0020191,1.00955e-05,293.15,"[0.022166666667, 0.044333333333, 0.9335]",75a98676-78e6-4070-8454-e9a6c573fb2d,10.1016/j.fluid.2014.01.028,0.9335,293.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, '75a98676-78e6-4070-8454-e9a6c573fb2d')",0.0020191,1.00955e-05,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0007359,3.6795e-06,343.15,"[0.022166666667, 0.044333333333, 0.9335]",f7b9b334-9bc6-46af-be96-97644244a0ad,10.1016/j.fluid.2014.01.028,0.9335,343.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, 'f7b9b334-9bc6-46af-be96-97644244a0ad')",0.0007359,3.6795e-06,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0015742,7.871e-06,303.15,"[0.022166666667, 0.044333333333, 0.9335]",a8c42456-adc5-4f28-9192-594a870abe6b,10.1016/j.fluid.2014.01.028,0.9335,303.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, 'a8c42456-adc5-4f28-9192-594a870abe6b')",0.0015742,7.871e-06,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0010444,5.222e-06,323.15,"[0.022166666667, 0.044333333333, 0.9335]",5e07d229-dba0-4440-9374-33c7e73dffef,10.1016/j.fluid.2014.01.028,0.9335,323.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '5e07d229-dba0-4440-9374-33c7e73dffef')",0.0010444,5.222e-06,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0026941,1.34705e-05,283.15,"[0.022166666667, 0.044333333333, 0.9335]",7a248150-deea-4892-ac78-a7fbd92793a2,10.1016/j.fluid.2014.01.028,0.9335,283.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, '7a248150-deea-4892-ac78-a7fbd92793a2')",0.0026941,1.34705e-05,0.9335,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0007702,3.851e-06,363.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",e44de2fc-c9c0-49ba-b7d2-bd8d9279cfd1,10.1016/j.fluid.2014.01.028,0.9007,363.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, 'e44de2fc-c9c0-49ba-b7d2-bd8d9279cfd1')",0.0007702,3.851e-06,0.9007000000000001,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0028657,1.4328499999999998e-05,293.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",ca90d9ca-cc21-465c-b6fe-9411d38e4c4c,10.1016/j.fluid.2014.01.028,0.9007,293.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, 'ca90d9ca-cc21-465c-b6fe-9411d38e4c4c')",0.0028657,1.4328499999999998e-05,0.9007000000000001,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0017433000000000001,8.7165e-06,313.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",dd0b25c0-da66-47cd-9e03-503ac191b07e,10.1016/j.fluid.2014.01.028,0.9007,313.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, 'dd0b25c0-da66-47cd-9e03-503ac191b07e')",0.0017433000000000001,8.7165e-06,0.9007000000000001,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0021977000000000003,1.09885e-05,303.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",8a15b952-fb95-40f8-be1f-04de4811ba96,10.1016/j.fluid.2014.01.028,0.9007,303.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, '8a15b952-fb95-40f8-be1f-04de4811ba96')",0.0021977000000000003,1.09885e-05,0.9007000000000001,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0014169,7.0845e-06,323.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",8f220fd9-8544-4adc-b194-938649ac36bb,10.1016/j.fluid.2014.01.028,0.9007,323.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '8f220fd9-8544-4adc-b194-938649ac36bb')",0.0014169,7.0845e-06,0.9007000000000001,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0011824,5.9119999999999995e-06,333.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",e2caf012-e78d-47c8-afe9-ca0b19caa2b5,10.1016/j.fluid.2014.01.028,0.9007,333.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, 'e2caf012-e78d-47c8-afe9-ca0b19caa2b5')",0.0011824,5.9119999999999995e-06,0.9007000000000001,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.001004,5.02e-06,343.15,"[0.033100000000000004, 0.06620000000000001, 0.9007000000000001]",64170577-9c93-43b4-a475-29481a48dbfc,10.1016/j.fluid.2014.01.028,0.9007,343.15,2.0,Document_1,"(0.033, 0.066, 0.901)",0.033,0.066,0.901,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, '64170577-9c93-43b4-a475-29481a48dbfc')",0.001004,5.02e-06,0.9007000000000001,#3185fc,s,measured
