fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,mole_fraction_Water,composition_temp_id,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,marker,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0009808,4.904e-06,313.15,"[0.013266666667, 0.026533333333, 0.9602]",d3a7440f-9e17-42cc-864c-a4c1ed6d5345,10.1016/j.fluid.2014.01.028,0.9602,313.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, 'd3a7440f-9e17-42cc-864c-a4c1ed6d5345')",0.0009808,4.904e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006998999999999999,3.4995e-06,333.15,"[0.013266666667, 0.026533333333, 0.9602]",481a2521-ea1c-42be-abb9-e5f75e00cd87,10.1016/j.fluid.2014.01.028,0.9602,333.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, '481a2521-ea1c-42be-abb9-e5f75e00cd87')",0.0006998999999999999,3.4995e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0005212,2.6059999999999997e-06,353.15,"[0.013266666667, 0.026533333333, 0.9602]",1c200b88-8499-4534-b024-56f2ab76ced5,10.1016/j.fluid.2014.01.028,0.9602,353.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, '1c200b88-8499-4534-b024-56f2ab76ced5')",0.0005212,2.6059999999999997e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0012059,6.0295000000000005e-06,303.15,"[0.013266666667, 0.026533333333, 0.9602]",d1a61d82-a2ad-4c32-a02d-2949ff780e79,10.1016/j.fluid.2014.01.028,0.9602,303.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, 'd1a61d82-a2ad-4c32-a02d-2949ff780e79')",0.0012059,6.0295000000000005e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0008193,4.0965000000000005e-06,323.15,"[0.013266666667, 0.026533333333, 0.9602]",9543a9d5-1c46-4b7d-b4cc-36f2cd82aea2,10.1016/j.fluid.2014.01.028,0.9602,323.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '9543a9d5-1c46-4b7d-b4cc-36f2cd82aea2')",0.0008193,4.0965000000000005e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0008829,4.4145e-06,333.15,"[0.022166666667, 0.044333333333, 0.9335]",9e2df444-eeab-459f-adf0-64f974f5cc31,10.1016/j.fluid.2014.01.028,0.9335,333.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, '9e2df444-eeab-459f-adf0-64f974f5cc31')",0.0008829,4.4145e-06,0.9335,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006145,3.0725000000000002e-06,363.15,"[0.022166666667, 0.044333333333, 0.9335]",e8895e18-ff08-4a9a-bfda-c4f99442f89b,10.1016/j.fluid.2014.01.028,0.9335,363.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, 'e8895e18-ff08-4a9a-bfda-c4f99442f89b')",0.0006145,3.0725000000000002e-06,0.9335,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006654,3.327e-06,353.15,"[0.022166666667, 0.044333333333, 0.9335]",fad81452-79d1-42d6-b08a-d734610f6ec9,10.1016/j.fluid.2014.01.028,0.9335,353.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, 'fad81452-79d1-42d6-b08a-d734610f6ec9')",0.0006654,3.327e-06,0.9335,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0012652000000000002,6.326e-06,313.15,"[0.022166666667, 0.044333333333, 0.9335]",b592bbd0-b62a-4059-9115-626598ff8b08,10.1016/j.fluid.2014.01.028,0.9335,313.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, 'b592bbd0-b62a-4059-9115-626598ff8b08')",0.0012652000000000002,6.326e-06,0.9335,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0020191,1.00955e-05,293.15,"[0.022166666667, 0.044333333333, 0.9335]",dd89d274-bc47-42fb-808b-6017096fb623,10.1016/j.fluid.2014.01.028,0.9335,293.15,2.0,Document_1,"(0.022, 0.044, 0.933)",0.022,0.044,0.933,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, 'dd89d274-bc47-42fb-808b-6017096fb623')",0.0020191,1.00955e-05,0.9335,0.7142857142857144,s,measured
